scheme_name,amc,scheme_type,scheme_sub_type,trail_brokerage_incl_gst,amc_normalised
DSP Nifty 50 Equal Weight Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.42,DSP Mutual Fund
DSP Nifty 50 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.05,DSP Mutual Fund
DSP Nifty 500 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.57,DSP Mutual Fund
DSP Nifty Bank Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.51,DSP Mutual Fund
DSP Nifty Healthcare Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.57,DSP Mutual Fund
DSP Nifty IT Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.57,DSP Mutual Fund
DSP Nifty Midcap 150 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.52,DSP Mutual Fund
DSP Nifty Midcap 150 Quality 50 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.44,DSP Mutual Fund
DSP Nifty Next 50 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.08,DSP Mutual Fund
DSP Nifty Private Bank Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.52,DSP Mutual Fund
DSP Nifty SDL Plus G-Sec Jun 2028 30-70 Index Fund,DSP Mutual Fund,DEBT,Medium to Long Duration Fund,0.08,DSP Mutual Fund
DSP Nifty SDL Plus G-Sec Sep 2027 50-50 Index Fund,DSP Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,DSP Mutual Fund
DSP Nifty Smallcap 250 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.51,DSP Mutual Fund
DSP Nifty Smallcap250 Quality 50 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.35,DSP Mutual Fund
DSP Nifty Top 10 Equal Weight Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.51,DSP Mutual Fund
DSP Nifty500 Flexicap Quality 30 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.48,DSP Mutual Fund
DSP Overnight Fund,DSP Mutual Fund,DEBT,Overnight Fund,0.02,DSP Mutual Fund
DSP Quant Fund,DSP Mutual Fund,EQUITY,Thematic Fund,0.7,DSP Mutual Fund
DSP Regular Savings Fund,DSP Mutual Fund,DEBT,Conservative Hybrid Fund,0.57,DSP Mutual Fund
DSP Savings Fund,DSP Mutual Fund,DEBT,Money Market Fund,0.15,DSP Mutual Fund
DSP Short Term Fund,DSP Mutual Fund,DEBT,Short Duration Fund,0.58,DSP Mutual Fund
DSP Silver ETF FoF,DSP Mutual Fund,OTHERS,Silver Plan,0.34,DSP Mutual Fund
DSP Small Cap Fund,DSP Mutual Fund,EQUITY,Small Cap Fund,0.9,DSP Mutual Fund
DSP Strategic Bond Fund,DSP Mutual Fund,DEBT,Dynamic Bond Fund,0.7,DSP Mutual Fund
DSP US Specific Debt Passive FoF,DSP Mutual Fund,DEBT,DEBT/OTHER ETF,0.04,DSP Mutual Fund
DSP US Specific Equity Omni FoF,DSP Mutual Fund,EQUITY,FOF Overseas,0.8,DSP Mutual Fund
DSP Ultra Short Fund,DSP Mutual Fund,DEBT,Ultra Short Duration Fund,0.59,DSP Mutual Fund
DSP Value Fund,DSP Mutual Fund,EQUITY,Value Fund,0.7,DSP Mutual Fund
DSP World Gold Mining Overseas Equity Omni FoF,DSP Mutual Fund,EQUITY,FOF Overseas,0.45,DSP Mutual Fund
DSP World Mining Fund,DSP Mutual Fund,EQUITY,FOF Overseas,0.57,DSP Mutual Fund
Diviniti Equity Long Short Fund,Diviniti SIF,EQUITY,Long-Short,0.98,Diviniti SIF
Edelweiss ASEAN Equity Off-shore,Edelweiss Mutual Fund,EQUITY,FOF Overseas,0.66,Edelweiss Mutual Fund
Edelweiss Aggressive Hybrid Fund,Edelweiss Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.18,Edelweiss Mutual Fund
Edelweiss Arbitrage Fund,Edelweiss Mutual Fund,DEBT,Arbitrage Fund,0.55,Edelweiss Mutual Fund
Edelweiss BSE Internet Economy Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.52,Edelweiss Mutual Fund
Edelweiss Balanced Advantage Fund,Edelweiss Mutual Fund,HYBRID,Balanced Advantage Fund,0.94,Edelweiss Mutual Fund
Edelweiss Banking and PSU Debt Fund,Edelweiss Mutual Fund,DEBT,Banking and PSU Debt Fund,0.32,Edelweiss Mutual Fund
Edelweiss Business Cycle Fund,Edelweiss Mutual Fund,EQUITY,Thematic Fund,1.32,Edelweiss Mutual Fund
Edelweiss CRISIL IBX 50-50 Gilt Plus SDL April 2037 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss CRISIL IBX 50-50 Gilt Plus SDL June 2027 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss CRISIL IBX 50-50 Gilt Plus SDL Sep 2028 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss CRISIL IBX 50-50 Gilt Plus SDL Short Duration Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.28,Edelweiss Mutual Fund
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss Consumption Fund,Edelweiss Mutual Fund,EQUITY,Thematic Fund,1.64,Edelweiss Mutual Fund
Edelweiss ELSS Tax saver Fund,Edelweiss Mutual Fund,EQUITY,ELSS,1.58,Edelweiss Mutual Fund
Edelweiss Emerging Markets Opportunities Equity Offshore Fund,Edelweiss Mutual Fund,EQUITY,FOF Overseas,0.66,Edelweiss Mutual Fund
Edelweiss Equity Savings Fund,Edelweiss Mutual Fund,HYBRID,Equity Savings Fund,0.86,Edelweiss Mutual Fund
Edelweiss Europe Dynamic Equity Offshore Fund,Edelweiss Mutual Fund,EQUITY,FOF Overseas,0.66,Edelweiss Mutual Fund
Edelweiss Financial Services Fund,Edelweiss Mutual Fund,EQUITY,Sectoral Fund,1.64,Edelweiss Mutual Fund
Edelweiss Flexi Cap Fund,Edelweiss Mutual Fund,EQUITY,Flexi Cap Fund,1.17,Edelweiss Mutual Fund
Edelweiss Focused Fund,Edelweiss Mutual Fund,EQUITY,Focused Fund,1.44,Edelweiss Mutual Fund
Edelweiss Gold and Silver ETF FoF,Edelweiss Mutual Fund,OTHERS,GOLD PLAN,0.26,Edelweiss Mutual Fund
Edelweiss Government Securities Fund,Edelweiss Mutual Fund,DEBT,Gilt Fund,0.55,Edelweiss Mutual Fund
Edelweiss Greater China Equity Off-shore Fund,Edelweiss Mutual Fund,EQUITY,FOF Overseas,0.66,Edelweiss Mutual Fund
Edelweiss Income Plus Arbitrage Active FoF,Edelweiss Mutual Fund,DEBT,FOF Domestic Debt,0.17,Edelweiss Mutual Fund
Edelweiss Large & Mid Cap Fund,Edelweiss Mutual Fund,EQUITY,Large and Mid Cap Fu,1.09,Edelweiss Mutual Fund
Edelweiss Large Cap Fund,Edelweiss Mutual Fund,EQUITY,Large Cap Fund,1.43,Edelweiss Mutual Fund
Edelweiss Liquid Fund,Edelweiss Mutual Fund,DEBT,Liquid Fund,0.04,Edelweiss Mutual Fund
Edelweiss Low Duration Fund,Edelweiss Mutual Fund,DEBT,Low Duration Fund,0.6,Edelweiss Mutual Fund
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.45,Edelweiss Mutual Fund
Edelweiss Mid Cap Fund,Edelweiss Mutual Fund,EQUITY,Mid Cap Fund,0.93,Edelweiss Mutual Fund
Edelweiss Money Market Fund,Edelweiss Mutual Fund,DEBT,Money Market Fund,0.48,Edelweiss Mutual Fund
Edelweiss Multi Asset Allocation Fund,Edelweiss Mutual Fund,HYBRID,Multi Asset Allocation,0.26,Edelweiss Mutual Fund
Edelweiss Multi Asset Omni FoF,Edelweiss Mutual Fund,HYBRID,FOF Domestic Hybrid,1.04,Edelweiss Mutual Fund
Edelweiss Multi Cap Fund,Edelweiss Mutual Fund,EQUITY,Multi Cap Fund,1.2,Edelweiss Mutual Fund
Edelweiss NIFTY Large Mid Cap 250 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.52,Edelweiss Mutual Fund
Edelweiss Nifty 100 Quality 30 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.47,Edelweiss Mutual Fund
Edelweiss Nifty 50 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.28,Edelweiss Mutual Fund
Edelweiss Nifty Alpha Low Volatility 30 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.52,Edelweiss Mutual Fund
Edelweiss Nifty Midcap150 Momentum 50 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.47,Edelweiss Mutual Fund
Edelweiss Nifty Next 50 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.52,Edelweiss Mutual Fund
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50-50 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50-50 Index Fund,Edelweiss Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Edelweiss Mutual Fund
Edelweiss Nifty Smallcap 250 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.52,Edelweiss Mutual Fund
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund,Edelweiss Mutual Fund,EQUITY,Index / ETF,0.52,Edelweiss Mutual Fund
Edelweiss Overnight Fund,Edelweiss Mutual Fund,DEBT,Overnight Fund,0.04,Edelweiss Mutual Fund
Edelweiss Recently Listed IPO Fund,Edelweiss Mutual Fund,EQUITY,Thematic Fund,1.55,Edelweiss Mutual Fund
Edelweiss Silver ETF FoF,Edelweiss Mutual Fund,OTHERS,Silver Plan,0.28,Edelweiss Mutual Fund
Edelweiss Small Cap Fund,Edelweiss Mutual Fund,EQUITY,Small Cap Fund,1.06,Edelweiss Mutual Fund
Edelweiss Technology Fund,Edelweiss Mutual Fund,EQUITY,Sectoral Fund,1.58,Edelweiss Mutual Fund
Edelweiss US Technology Equity Fund of Fund,Edelweiss Mutual Fund,EQUITY,FOF Overseas,0.66,Edelweiss Mutual Fund
Edelweiss US Value Equity Offshore Fund,Edelweiss Mutual Fund,EQUITY,FOF Overseas,0.66,Edelweiss Mutual Fund
Franklin Asian Equity Fund,Franklin Templeton Mutual Fund,EQUITY,Thematic Fund,1.64,Franklin Templeton Mutual Fund
Franklin Build India Fund,Franklin Templeton Mutual Fund,EQUITY,Thematic Fund,1.19,Franklin Templeton Mutual Fund
Franklin India Aggressive Hybrid Fund,Franklin Templeton Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.32,Franklin Templeton Mutual Fund
Franklin India Arbitrage Fund,Franklin Templeton Mutual Fund,DEBT,Arbitrage Fund,0.65,Franklin Templeton Mutual Fund
Franklin India Balanced Advantage Fund,Franklin Templeton Mutual Fund,HYBRID,Balanced Advantage Fund,1.2,Franklin Templeton Mutual Fund
Franklin India Banking & PSU Debt Fund,Franklin Templeton Mutual Fund,DEBT,Banking and PSU Debt Fund,0.24,Franklin Templeton Mutual Fund
Franklin India Conservative Hybrid Fund,Franklin Templeton Mutual Fund,DEBT,Conservative Hybrid Fund,0.71,Franklin Templeton Mutual Fund
Franklin India Corporate Debt Fund,Franklin Templeton Mutual Fund,DEBT,Corporate Bond Fund,0.4,Franklin Templeton Mutual Fund
Franklin India Dynamic Asset Allocation Active Fund of Funds,Franklin Templeton Mutual Fund,HYBRID,FOF Domestic Hybrid,0.87,Franklin Templeton Mutual Fund
Franklin India ELSS Tax Saver Fund,Franklin Templeton Mutual Fund,EQUITY,ELSS,0.97,Franklin Templeton Mutual Fund
Franklin India Equity Savings Fund,Franklin Templeton Mutual Fund,HYBRID,Equity Savings Fund,0.52,Franklin Templeton Mutual Fund
Franklin India Flexi Cap Fund,Franklin Templeton Mutual Fund,EQUITY,Flexi Cap Fund,0.96,Franklin Templeton Mutual Fund
Franklin India Floating Rate Fund,Franklin Templeton Mutual Fund,DEBT,Floater Fund,0.48,Franklin Templeton Mutual Fund
Franklin India Focused Equity Fund,Franklin Templeton Mutual Fund,EQUITY,Focused Fund,0.98,Franklin Templeton Mutual Fund
Franklin India Government Securities Fund,Franklin Templeton Mutual Fund,DEBT,Gilt Fund,0.48,Franklin Templeton Mutual Fund
Franklin India Income Plus Arbitrage Active Fund of Funds,Franklin Templeton Mutual Fund,DEBT,FOF Domestic Debt,0.14,Franklin Templeton Mutual Fund
Franklin India Large & Mid Cap Fund,Franklin Templeton Mutual Fund,EQUITY,Large and Mid Cap Fu,1.17,Franklin Templeton Mutual Fund
Franklin India Large Cap Fund,Franklin Templeton Mutual Fund,EQUITY,Large Cap Fund,1.04,Franklin Templeton Mutual Fund
Franklin India Liquid fund,Franklin Templeton Mutual Fund,DEBT,Liquid Fund,0.04,Franklin Templeton Mutual Fund
Franklin India Long Duration Fund,Franklin Templeton Mutual Fund,DEBT,Long Duration Fund,0.28,Franklin Templeton Mutual Fund
Franklin India Low Duration Fund,Franklin Templeton Mutual Fund,DEBT,Low Duration Fund,0.28,Franklin Templeton Mutual Fund
Franklin India Medium to Long Duration Fund,Franklin Templeton Mutual Fund,DEBT,Medium to Long Duration Fund,0.28,Franklin Templeton Mutual Fund
Franklin India Mid Cap Fund,Franklin Templeton Mutual Fund,EQUITY,Mid Cap Fund,0.97,Franklin Templeton Mutual Fund
Franklin India Money Market Fund,Franklin Templeton Mutual Fund,DEBT,Money Market Fund,0.04,Franklin Templeton Mutual Fund
Franklin India Multi Asset Allocation Fund,Franklin Templeton Mutual Fund,HYBRID,Multi Asset Allocation,1.2,Franklin Templeton Mutual Fund
Franklin India Multi Cap Fund,Franklin Templeton Mutual Fund,EQUITY,Multi Cap Fund,1.11,Franklin Templeton Mutual Fund
Franklin India Multi Factor Fund,Franklin Templeton Mutual Fund,EQUITY,Thematic Fund,1.63,Franklin Templeton Mutual Fund
Franklin India NSE Nifty 50 Index Fund,Franklin Templeton Mutual Fund,EQUITY,Index / ETF,0.34,Franklin Templeton Mutual Fund
Franklin India Opportunities Fund,Franklin Templeton Mutual Fund,EQUITY,Thematic Fund,0.91,Franklin Templeton Mutual Fund
Franklin India Overnight Fund,Franklin Templeton Mutual Fund,DEBT,Overnight Fund,0.01,Franklin Templeton Mutual Fund
Franklin India Retirement Fund,Franklin Templeton Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.44,Franklin Templeton Mutual Fund
Franklin India Small Cap Fund,Franklin Templeton Mutual Fund,EQUITY,Small Cap Fund,0.97,Franklin Templeton Mutual Fund
Franklin India Technology Fund,Franklin Templeton Mutual Fund,EQUITY,Sectoral Fund,1.2,Franklin Templeton Mutual Fund
Franklin India Ultra Short Duration Fund,Franklin Templeton Mutual Fund,DEBT,Ultra Short Duration Fund,0.28,Franklin Templeton Mutual Fund
Franklin Templeton Dividend Yield Fund,Franklin Templeton Mutual Fund,EQUITY,Dividend Yield Fund,1.25,Franklin Templeton Mutual Fund
Franklin U.S. Opportunities Equity Active Fund of Funds,Franklin Templeton Mutual Fund,EQUITY,FOF Overseas,0.92,Franklin Templeton Mutual Fund
GROWW MONEY MARKET FUND,Groww Mutual Fund,DEBT,Money Market Fund,0.4,Groww Mutual Fund
Groww Aggressive Hybrid Fund,Groww Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.58,Groww Mutual Fund
Groww BSE Power ETF FOF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.31,Groww Mutual Fund
Groww Banking & Financial Services Fund,Groww Mutual Fund,EQUITY,Sectoral Fund,1.58,Groww Mutual Fund
Groww Dynamic Bond Fund,Groww Mutual Fund,DEBT,Dynamic Bond Fund,0.59,Groww Mutual Fund
Groww ELSS Tax Saver Fund,Groww Mutual Fund,EQUITY,ELSS,1.52,Groww Mutual Fund
Groww Gilt Fund,Groww Mutual Fund,DEBT,Gilt Fund,0.93,Groww Mutual Fund
Groww Gold ETF FOF,Groww Mutual Fund,OTHERS,GOLD PLAN,0.26,Groww Mutual Fund
Groww Large Cap Fund,Groww Mutual Fund,EQUITY,Large Cap Fund,1.58,Groww Mutual Fund
Groww Liquid Fund,Groww Mutual Fund,DEBT,Liquid Fund,0.07,Groww Mutual Fund
Groww Multi Asset Allocation Fund,Groww Mutual Fund,HYBRID,Multi Asset Allocation,1.36,Groww Mutual Fund
Groww Multi Asset Omni FoF,Groww Mutual Fund,HYBRID,FOF Domestic Hybrid,0.65,Groww Mutual Fund
Groww Multicap Fund,Groww Mutual Fund,EQUITY,Multi Cap Fund,1.58,Groww Mutual Fund
Groww Nifty 200 ETF FoF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.37,Groww Mutual Fund
Groww Nifty 50 Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Nifty 500 Momentum 50 ETF FoF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.33,Groww Mutual Fund
Groww Nifty Capital Markets ETF FoF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.26,Groww Mutual Fund
Groww Nifty EV & New Age Automotive ETF FoF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.28,Groww Mutual Fund
Groww Nifty India Defence ETF FOF,Groww Mutual Fund,EQUITY,Index / ETF,0.28,Groww Mutual Fund
Groww Nifty India Internet ETF FoF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.31,Groww Mutual Fund
Groww Nifty India Railways PSU Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Nifty Midcap 150 Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Nifty Next 50 Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Nifty Non-Cyclical Consumer Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Nifty PSE ETF FOF,Groww Mutual Fund,EQUITY,FOF Domestic Equity,0.22,Groww Mutual Fund
Groww Nifty Smallcap 250 Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Nifty Total Market Index Fund,Groww Mutual Fund,EQUITY,Index / ETF,0.53,Groww Mutual Fund
Groww Overnight Fund,Groww Mutual Fund,DEBT,Overnight Fund,0.07,Groww Mutual Fund
Groww Short Duration Fund,Groww Mutual Fund,DEBT,Short Duration Fund,0.53,Groww Mutual Fund
Groww Silver ETF FoF,Groww Mutual Fund,OTHERS,Silver Plan,0.37,Groww Mutual Fund
Groww Small Cap Fund,Groww Mutual Fund,EQUITY,Small Cap Fund,1.58,Groww Mutual Fund
Groww Value Fund,Groww Mutual Fund,EQUITY,Value Fund,1.52,Groww Mutual Fund
HDFC Arbitrage Fund,HDFC Mutual Fund,DEBT,Arbitrage Fund,0.32,HDFC Mutual Fund
HDFC BSE 500 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.04,HDFC Mutual Fund
HDFC BSE India Sector Leaders Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.28,HDFC Mutual Fund
HDFC BSE Sensex Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.14,HDFC Mutual Fund
HDFC Balanced Advantage Fund,HDFC Mutual Fund,HYBRID,Balanced Advantage Fund,0.64,HDFC Mutual Fund
HDFC Banking & Financial Services Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,0.96,HDFC Mutual Fund
HDFC Banking and PSU Debt Fund,HDFC Mutual Fund,DEBT,Banking and PSU Debt Fund,0.28,HDFC Mutual Fund
HDFC Business Cycle Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,1.04,HDFC Mutual Fund
HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,HDFC Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,HDFC Mutual Fund
HDFC Childrens Fund,HDFC Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.83,HDFC Mutual Fund
HDFC Childrens Fund(Lock In),HDFC Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.83,HDFC Mutual Fund
HDFC Corporate Bond Fund,HDFC Mutual Fund,DEBT,Corporate Bond Fund,0.18,HDFC Mutual Fund
HDFC Credit Risk Debt Fund,HDFC Mutual Fund,DEBT,Credit Risk Fund,0.91,HDFC Mutual Fund
HDFC Defence Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,0.86,HDFC Mutual Fund
HDFC Diversified Equity All Cap Active FOF,HDFC Mutual Fund,EQUITY,FOF Domestic Equity,0.84,HDFC Mutual Fund
HDFC Dividend Yield Fund,HDFC Mutual Fund,EQUITY,Dividend Yield Fund,0.85,HDFC Mutual Fund
HDFC Dynamic Debt Fund,HDFC Mutual Fund,DEBT,Dynamic Bond Fund,0.66,HDFC Mutual Fund
HDFC ELSS Tax saver,HDFC Mutual Fund,EQUITY,ELSS,0.83,HDFC Mutual Fund
HDFC Equity Savings Fund,HDFC Mutual Fund,HYBRID,Equity Savings Fund,0.96,HDFC Mutual Fund
HDFC Flexi Cap Fund,HDFC Mutual Fund,EQUITY,Flexi Cap Fund,0.64,HDFC Mutual Fund
HDFC Floating Rate Debt Fund,HDFC Mutual Fund,DEBT,Floater Fund,0.12,HDFC Mutual Fund
HDFC Focused Fund,HDFC Mutual Fund,EQUITY,Focused Fund,0.71,HDFC Mutual Fund
HDFC Gilt Fund,HDFC Mutual Fund,DEBT,Gilt Fund,0.44,HDFC Mutual Fund
HDFC Gold ETF Fund of Fund,HDFC Mutual Fund,OTHERS,GOLD PLAN,0.2,HDFC Mutual Fund
HDFC Housing Opportunities Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,1.26,HDFC Mutual Fund
HDFC Hybrid Debt Fund,HDFC Mutual Fund,DEBT,Conservative Hybrid Fund,0.86,HDFC Mutual Fund
HDFC Hybrid Equity Fund,HDFC Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.84,HDFC Mutual Fund
HDFC Income Fund,HDFC Mutual Fund,DEBT,Medium to Long Duration Fund,0.61,HDFC Mutual Fund
HDFC Income Plus Arbitrage Active Fund of Funds,HDFC Mutual Fund,DEBT,FOF Domestic Debt,0.18,HDFC Mutual Fund
HDFC Infrastructure Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,0.91,HDFC Mutual Fund
HDFC Innovation Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,1.03,HDFC Mutual Fund
HDFC Large Cap Fund,HDFC Mutual Fund,EQUITY,Large Cap Fund,0.73,HDFC Mutual Fund
HDFC Large and Mid Cap Fund,HDFC Mutual Fund,EQUITY,Large and Mid Cap Fu,0.77,HDFC Mutual Fund
HDFC Liquid Fund,HDFC Mutual Fund,DEBT,Liquid Fund,0.09,HDFC Mutual Fund
HDFC Long Duration Debt Fund,HDFC Mutual Fund,DEBT,Long Duration Fund,0.24,HDFC Mutual Fund
HDFC Low Duration Fund,HDFC Mutual Fund,DEBT,Low Duration Fund,0.54,HDFC Mutual Fund
HDFC MNC Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,1.37,HDFC Mutual Fund
HDFC Manufacturing Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,0.79,HDFC Mutual Fund
HDFC Medium Term Debt Fund,HDFC Mutual Fund,DEBT,Medium Duration Fund,0.68,HDFC Mutual Fund
HDFC Mid Cap Fund,HDFC Mutual Fund,EQUITY,Mid Cap Fund,0.68,HDFC Mutual Fund
HDFC Money Market Fund,HDFC Mutual Fund,DEBT,Money Market Fund,0.13,HDFC Mutual Fund
HDFC Multi Asset Active FoF,HDFC Mutual Fund,HYBRID,FOF Domestic Hybrid,0.65,HDFC Mutual Fund
HDFC Multi Cap Fund,HDFC Mutual Fund,EQUITY,Multi Cap Fund,0.84,HDFC Mutual Fund
HDFC Multi-Asset Allocation Fund,HDFC Mutual Fund,HYBRID,Multi Asset Allocation,0.83,HDFC Mutual Fund
HDFC NIFTY 100 Equal Weight Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.18,HDFC Mutual Fund
HDFC NIFTY G-Sec Apr 2029 Index Fund,HDFC Mutual Fund,DEBT,Gilt Fund,0.17,HDFC Mutual Fund
HDFC NIFTY G-Sec Jun 2036 Index Fund,HDFC Mutual Fund,DEBT,Gilt Fund,0.17,HDFC Mutual Fund
HDFC NIFTY Midcap 150 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.04,HDFC Mutual Fund
HDFC NIFTY Next 50 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.2,HDFC Mutual Fund
HDFC NIFTY Realty Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.32,HDFC Mutual Fund
HDFC NIFTY SDL Plus G-Sec Jun 2027 40-60 Index Fund,HDFC Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,HDFC Mutual Fund
HDFC NIFTY Smallcap 250 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.07,HDFC Mutual Fund
HDFC NIFTY100 Low Volatility 30 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.28,HDFC Mutual Fund
HDFC NIFTY200 Momentum 30 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.28,HDFC Mutual Fund
HDFC NIFTY50 Equal Weight Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.32,HDFC Mutual Fund
HDFC Nifty 100 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.17,HDFC Mutual Fund
HDFC Nifty 50 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.14,HDFC Mutual Fund
HDFC Nifty G-Sec July 2031 Index Fund,HDFC Mutual Fund,DEBT,Gilt Fund,0.17,HDFC Mutual Fund
HDFC Nifty G-Sec Jun 2027 Index,HDFC Mutual Fund,DEBT,Gilt Fund,0.17,HDFC Mutual Fund
HDFC Nifty G-Sec Sep 2032 Index,HDFC Mutual Fund,DEBT,Gilt Fund,0.17,HDFC Mutual Fund
HDFC Nifty G-sec Dec 2026 Index Fund,HDFC Mutual Fund,DEBT,Gilt Fund,0.17,HDFC Mutual Fund
HDFC Nifty India Digital Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.32,HDFC Mutual Fund
HDFC Nifty LargeMidcap 250 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.32,HDFC Mutual Fund
HDFC Nifty SDL Oct 2026 Index Fund,HDFC Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,HDFC Mutual Fund
HDFC Nifty Top 20 Equal Weight Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.28,HDFC Mutual Fund
HDFC Nifty100 Quality 30 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.28,HDFC Mutual Fund
HDFC Nifty500 Multicap 50-25-25 Index Fund,HDFC Mutual Fund,EQUITY,Index / ETF,0.37,HDFC Mutual Fund
HDFC Non-Cyclical Consumer Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,1.25,HDFC Mutual Fund
HDFC Overnight Fund,HDFC Mutual Fund,DEBT,Overnight Fund,0.06,HDFC Mutual Fund
